階段,名稱,折扣,開始日,結束日,單線價格(NT$),雙軌價格(NT$),單線省下(NT$)
1,公開招生啟動價,33折,2025/12/27,2026/02/26,6299,8799,12701
2,正式招生起跑價,37折,2026/02/27,2026/03/05,6999,9799,12001
3,查看地圖價,41折,2026/03/06,2026/03/19,7799,10899,11201
4,夢想試飛價,44折,2026/03/20,2026/03/26,8399,11699,10601
5,打包行李價,47折,2026/03/27,2026/04/02,8999,12499,10001
6,開票起飛價,51折,2026/04/03,2026/04/12,9699,13499,9301
7,最後登機口價,55折,2026/04/13,2026/04/19,10499,14599,8501
8,起飛早鳥價,59折,2026/04/20,2026/04/26,11199,15599,7801
9,雲端巡航價,63折,2026/04/27,2026/05/03,11999,16699,7001
10,中途轉機價,67折,2026/05/04,2026/05/10,12699,17799,6301
11,入境前夕價,71折,2026/05/11,2026/05/17,13499,18799,5501
12,落地衝刺價,75折,2026/05/18,2026/05/24,14199,19899,4801
13,壓線滑行價,79折,2026/05/25,2026/05/31,14999,20999,4001
14,準時抵達價,83折,2026/06/01,2026/06/07,14999,21999,4001
15,晚點到-相信自己,87折,2026/06/08,2026/06/14,15799,22999,3201
16,晚點到-勇敢前行,91折,2026/06/15,2026/06/21,17299,24099,1701
17,晚點到-原價,原價,2026/06/22,長期,19000,26500,0
